Time(ms),Temp(C),Pressure(hPa),Alt(m),FiltAlt(m),AccX(g),AccY(g),AccZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),LM35Temp(C)
2565,19.62,1040.15,668.58,668.64,-0.00,0.00,0.97,3.46,-0.41,-1.54,7.17,-68.16,-4.58,20.51
2599,19.62,1040.15,668.58,668.62,-0.01,0.01,0.98,3.91,-0.93,-1.29,7.22,-68.51,-4.63,21.00
2630,19.62,1040.13,668.77,668.65,-0.01,0.01,0.97,3.75,-0.79,-1.31,7.25,-68.84,-4.67,20.51
2661,19.62,1040.13,668.77,668.68,-0.00,0.00,0.97,3.45,-0.79,-1.49,7.26,-69.18,-4.72,21.00
2693,19.62,1040.13,668.77,668.69,-0.01,0.01,0.97,3.51,-0.61,-1.43,7.29,-69.50,-4.76,21.00
2725,19.62,1040.16,668.52,668.66,-0.01,0.01,0.97,3.52,-0.65,-1.42,7.32,-69.81,-4.81,20.02
2758,19.62,1040.16,668.52,668.63,-0.01,0.01,0.97,3.60,-1.03,-1.31,7.35,-70.13,-4.85,21.00
2789,19.62,1040.16,668.52,668.61,-0.01,0.01,0.97,3.48,-0.67,-1.68,7.37,-70.43,-4.90,21.00
2821,19.62,1040.13,668.71,668.63,-0.01,0.01,0.96,3.65,-0.79,-1.28,7.40,-70.73,-4.94,20.51
2853,19.62,1040.13,668.71,668.65,-0.01,0.01,0.98,3.55,-0.65,-1.57,7.42,-71.02,-4.99,21.00
2884,19.62,1040.13,668.71,668.66,-0.00,0.02,0.98,3.58,-0.67,-1.52,7.45,-71.31,-5.04,20.51
2915,19.62,1040.15,668.61,668.65,-0.02,0.01,0.97,3.54,-0.61,-1.45,7.47,-71.58,-5.09,20.02
2949,19.62,1040.15,668.61,668.64,-0.01,0.01,0.97,3.83,-1.00,-1.46,7.50,-71.87,-5.14,20.02
2981,19.62,1040.15,668.61,668.64,-0.01,0.00,0.97,3.68,-1.14,-1.29,7.52,-72.15,-5.18,20.02
3012,19.62,1040.17,668.44,668.60,-0.01,0.01,0.97,3.45,-0.54,-1.58,7.53,-72.40,-5.23,21.00
3043,19.62,1040.17,668.44,668.56,-0.00,0.01,0.97,3.43,-0.50,-1.66,7.55,-72.66,-5.28,19.53
3075,19.62,1040.17,668.44,668.54,-0.01,0.01,0.96,3.54,-0.39,-1.45,7.57,-72.90,-5.32,21.00
3109,19.62,1040.17,668.44,668.52,-0.01,0.01,0.97,3.68,-0.93,-1.29,7.60,-73.15,-5.37,20.02
3140,19.62,1040.17,668.44,668.50,-0.01,0.01,0.97,3.57,-0.65,-1.54,7.61,-73.40,-5.42,20.51
3171,19.62,1040.17,668.44,668.49,-0.01,0.01,0.97,3.49,-0.47,-1.51,7.62,-73.62,-5.46,20.02
3203,19.62,1040.16,668.48,668.49,-0.00,0.01,0.97,3.58,-0.33,-1.52,7.64,-73.85,-5.51,20.02
